origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur_won,price_eur,segment_count,itinerary_id,,,,
FR,CDG,IT,FCO,2026-06-01T11:40:00,2026-06-01T13:45:00,125,0,ITA Airways,345932,197,10413-2606011140--30727-0-11493-2606011345,,,,,
FR,CDG,IT,FCO,2026-06-01T16:45:00,2026-06-01T21:45:00,300,1,Condor,162166.6,92.35,10413-2606011645--32415-1-11493-2606012145,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T14:10:00,260,1,ITA Airways,222801.28,126.88,10413-2606010950--30727-1-11493-2606011410,,,,,
FR,CDG,IT,FCO,2026-06-01T14:05:00,2026-06-01T16:10:00,125,0,ITA Airways,345932,197,10413-2606011405--30727-0-11493-2606011610,,,,,
FR,CDG,IT,FCO,2026-06-01T06:10:00,2026-06-01T08:10:00,120,0,ITA Airways,298520,170,10413-2606010610--30727-0-11493-2606010810,,,,,
FR,CDG,IT,FCO,2026-06-01T06:50:00,2026-06-01T08:55:00,125,0,Air France,324333.2,184.7,10413-2606010650--32677-0-11493-2606010855,,,,,
FR,CDG,IT,FCO,2026-06-01T12:15:00,2026-06-01T14:25:00,130,0,Air France,440229.2,250.7,10413-2606011215--32677-0-11493-2606011425,,,,,
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T17:10:00,440,1,ITA Airways,190965,108.75,10413-2606010950--30727-1-11493-2606011710,,,,,
FR,CDG,IT,FCO,2026-06-01T13:10:00,2026-06-01T19:15:00,365,1,"easyJet, Wizz Air Malta",158040,90,"10413-2606011310--32356,-30596-1-11493-2606011915",,,,,
FR,CDG,IT,FCO,2026-06-01T18:15:00,2026-06-01T20:25:00,130,0,ITA Airways,345932,197,10413-2606011815--30727-0-11493-2606012025,,,,,
FR,CDG,IT,FCO,2026-06-01T11:10:00,2026-06-01T15:50:00,280,1,Condor,258114.44,146.99,10413-2606011110--32415-1-11493-2606011550,,,,,
FR,CDG,IT,FCO,2026-06-01T11:15:00,2026-06-01T18:35:00,440,1,Scandinavian Airlines,208964,119,10413-2606011115--31901-1-11493-2606011835,,,,,
FR,CDG,IT,FCO,2026-06-01T17:00:00,2026-06-01T19:05:00,125,0,Air France,426181.2,242.7,10413-2606011700--32677-0-11493-2606011905,,,,,
FR,CDG,IT,FCO,2026-06-01T15:20:00,2026-06-01T17:30:00,130,0,Air France,480617.2,273.7,10413-2606011520--32677-0-11493-2606011730,,,,,
FR,CDG,IT,FCO,2026-06-01T09:15:00,2026-06-01T11:25:00,130,0,Air France,563149.2,320.7,10413-2606010915--32677-0-11493-2606011125,,,,,
FR,CDG,IT,FCO,2026-06-01T21:10:00,2026-06-01T23:15:00,125,0,Air France,369989.2,210.7,10413-2606012110--32677-0-11493-2606012315,,,,,
FR,CDG,IT,FCO,2026-06-01T16:05:00,2026-06-01T21:15:00,310,1,Vueling Airlines,197040.76,112.21,10413-2606011605--31685-1-11493-2606012115,,,,,
