origin_country,origin_iata,dest_country,dest_iata,departure,arrival,duration_minutes,stop_count,carriers,price_eur,price_formatted,segment_count,itinerary_id
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T13:40:00,225,1,Brussels Airlines,355.65,356 €,2,10413-2606010955--32478-1-11493-2606011340
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T11:45:00,275,1,KLM,303.23,304 €,2,10413-2606010710--32132-1-11493-2606011145
FR,CDG,IT,FCO,2026-06-01T16:20:00,2026-06-01T22:45:00,385,1,KLM,217,217 €,2,10413-2606011620--32132-1-11493-2606012245
FR,CDG,IT,FCO,2026-06-01T09:50:00,2026-06-01T20:10:00,620,1,KM Malta Airlines,164.63,165 €,2,10413-2606010950--30510-1-11493-2606012010
FR,CDG,IT,FCO,2026-06-01T14:30:00,2026-06-01T18:45:00,255,1,"Air France, KLM",256.08,257 €,2,"10413-2606011430--32677,-32132-1-11493-2606011845"
FR,CDG,IT,FCO,2026-06-01T18:20:00,2026-06-01T23:45:00,325,1,British Airways,283.74,284 €,2,10413-2606011820--32480-1-11493-2606012345
FR,CDG,IT,FCO,2026-06-01T18:45:00,2026-06-01T23:10:00,265,1,Lufthansa,285.12,286 €,2,10413-2606011845--32090-1-11493-2606012310
FR,CDG,IT,FCO,2026-06-01T09:35:00,2026-06-01T18:35:00,540,1,Scandinavian Airlines,187,187 €,2,10413-2606010935--31901-1-11493-2606011835
FR,CDG,IT,FCO,2026-06-01T20:25:00,2026-06-02T08:20:00,715,1,Vueling Airlines,139.69,140 €,2,10413-2606012025--31685-1-11493-2606020820
FR,CDG,IT,FCO,2026-06-01T15:00:00,2026-06-01T19:25:00,265,1,SWISS,328.82,329 €,2,10413-2606011500--31799-1-11493-2606011925
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T16:25:00,280,1,KLM,326.41,327 €,2,10413-2606011145--32132-1-11493-2606011625
FR,CDG,IT,FCO,2026-06-01T18:00:00,2026-06-01T22:00:00,240,1,Lufthansa,322.6,323 €,2,10413-2606011800--32090-1-11493-2606012200
FR,CDG,IT,FCO,2026-06-01T09:45:00,2026-06-01T14:20:00,275,1,SWISS,375.89,376 €,2,10413-2606010945--31799-1-11493-2606011420
FR,CDG,IT,FCO,2026-06-01T09:40:00,2026-06-01T16:25:00,405,1,KLM,263.4,264 €,2,10413-2606010940--32132-1-11493-2606011625
FR,CDG,IT,FCO,2026-06-01T17:50:00,2026-06-01T22:45:00,295,1,"Air France, KLM",261.33,262 €,2,"10413-2606011750--32677,-32132-1-11493-2606012245"
FR,CDG,IT,FCO,2026-06-01T07:10:00,2026-06-01T11:45:00,275,1,"Air France, KLM",351.84,352 €,2,"10413-2606010710--32677,-32132-1-11493-2606011145"
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T16:25:00,280,1,"Air France, KLM",351.84,352 €,2,"10413-2606011145--32677,-32132-1-11493-2606011625"
FR,CDG,IT,FCO,2026-06-01T06:25:00,2026-06-01T11:50:00,325,1,Lufthansa,328.91,329 €,2,10413-2606010625--32090-1-11493-2606011150
FR,CDG,IT,FCO,2026-06-01T08:30:00,2026-06-01T13:40:00,310,1,Brussels Airlines,358.82,359 €,2,10413-2606010830--32478-1-11493-2606011340
FR,CDG,IT,FCO,2026-06-01T15:55:00,2026-06-01T20:40:00,285,1,Austrian Airlines,390.71,391 €,2,10413-2606011555--32544-1-11493-2606012040
FR,CDG,IT,FCO,2026-06-01T18:50:00,2026-06-02T00:15:00,325,1,Iberia,343.39,344 €,2,10413-2606011850--32222-1-11493-2606020015
FR,CDG,IT,FCO,2026-06-01T09:55:00,2026-06-01T13:40:00,225,1,"Brussels Airlines, ITA Airways",501.64,502 €,2,"10413-2606010955--32478,-30727-1-11493-2606011340"
FR,CDG,IT,FCO,2026-06-01T12:45:00,2026-06-01T18:15:00,330,1,Iberia,343.39,344 €,2,10413-2606011245--32222-1-11493-2606011815
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T12:30:00,285,1,Lufthansa,398.9,399 €,2,10413-2606010745--32090-1-11493-2606011230
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T13:40:00,355,1,Lufthansa,327.5,328 €,2,10413-2606010745--32090-1-11493-2606011340
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T18:45:00,420,1,KLM,278.14,279 €,2,10413-2606011145--32132-1-11493-2606011845
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T17:50:00,605,1,Lufthansa,195.05,196 €,2,10413-2606010745--32090-1-11493-2606011750
FR,CDG,IT,FCO,2026-06-01T08:55:00,2026-06-01T16:25:00,450,1,KLM,263.4,264 €,2,10413-2606010855--32132-1-11493-2606011625
FR,CDG,IT,FCO,2026-06-01T06:45:00,2026-06-01T12:25:00,340,1,SWISS,358.99,359 €,2,10413-2606010645--31799-1-11493-2606011225
FR,CDG,IT,FCO,2026-06-01T12:05:00,2026-06-01T17:10:00,305,1,Croatia Airlines,400.44,401 €,2,10413-2606011205--32401-1-11493-2606011710
FR,CDG,IT,FCO,2026-06-01T12:00:00,2026-06-01T18:15:00,375,1,Lufthansa,328.91,329 €,2,10413-2606011200--32090-1-11493-2606011815
FR,CDG,IT,FCO,2026-06-01T11:45:00,2026-06-01T18:45:00,420,1,"Air France, KLM",303.57,304 €,2,"10413-2606011145--32677,-32132-1-11493-2606011845"
FR,CDG,IT,FCO,2026-06-01T08:15:00,2026-06-01T18:45:00,630,1,KLM,206.25,207 €,2,10413-2606010815--32132-1-11493-2606011845
FR,CDG,IT,FCO,2026-06-01T08:55:00,2026-06-01T16:25:00,450,1,"Air France, KLM",288.83,289 €,2,"10413-2606010855--32677,-32132-1-11493-2606011625"
FR,CDG,IT,FCO,2026-06-01T07:45:00,2026-06-01T16:40:00,535,1,Royal Air Maroc,245.65,246 €,2,10413-2606010745--31927-1-11493-2606011640
FR,CDG,IT,FCO,2026-06-01T14:55:00,2026-06-01T22:40:00,465,1,British Airways,283.74,284 €,2,10413-2606011455--32480-1-11493-2606012240
